"","city","2019-12-13","2020-05-16","2020-09-21","2020-11-28","2021-01-26","2021-05-12","2021-07-29","2021-09-20","2021-12-14","2022-06-25","2022-10-05","2023-02-07","2023-10-05","2024-02-23","2024-08-12","2025-01-18","2025-10-18"
"1","Agoura Hills",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","Alhambra",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","Aliso Viejo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Apple Valley",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","Arroyo Grande",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Artesia",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","Atascadero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","Azusa",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","Bell Gardens",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","Bellflower",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","Big Bear Lake",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","Bishop",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","Bradbury",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","Brawley",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","Buellton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","Calabasas",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","Camarillo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","Carpinteria",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","Cerritos",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","Chino Hills",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","Claremont",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","Commerce",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","Dana Point",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","Diamond Bar",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","Duarte",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","El Centro",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","Fillmore",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","Fountain Valley",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"29","Goleta",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","Grand Terrace",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31","Grover Beach",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32","Guadalupe",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","Hawaiian Gardens",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","Hemet",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"35","Hermosa Beach",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"36","Hidden Hills",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","Imperial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","Indian Wells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","Indio",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40","Irwindale",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41","La Canada Flintridge",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","La Cañada Flintridge",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43","La Habra Heights",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"44","La Mirada",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45","La Palma",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","La Puente",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","La Quinta",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","La Verne",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49","Laguna Hills",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"50","Laguna Niguel",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","Laguna Woods",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52","Lake Elsinore",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53","Lake Forest",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54","Lakewood",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55","Lawndale",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
