"","city","fy_joined","last_fy_reported","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022","2022-2023","2023-2024"
"1","Alameda","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","Chico","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","Fairfield","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Fremont","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","Livermore","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Lodi","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","NCCSIF","1993",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","Petaluma","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","Redding","1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","REMIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Richmond","2009",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","Roseville","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","San Leandro","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","San Rafael","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","Santa Rosa","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","SCORE","1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","Stockton","1986","2024-2025",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","Sunnyvale","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","Vacaville","1986",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","Vallejo","1987","2017-2018",1,1,1,1,1,1,1,1,0,0,0,0,0,0
"21","YCPARMIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
