"","city","fy_joined","last_fy_reported","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021"
"1","Alturas",NA,"2016-2017",1,1,1,1,1,1,1,0,0,0,0
"2","Amador City",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"3","Avalon",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"4","Belvedere","2016-2017",NA,0,0,0,0,0,0,1,1,1,1,1
"5","Blue Lake",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"6","California",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"7","Calimesa",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"8","Calistoga",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"9","Canyon Lake",NA,"2014-2015",1,1,1,1,1,0,0,0,0,0,0
"10","Citrus Heights",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"11","Clearlake",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"12","Coalinga",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"13","Ferndale",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"14","Grass Valley",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"15","Hesperia",NA,"2014-2015",1,1,1,1,1,0,0,0,0,0,0
"16","Highland",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"17","Menifee","2015-2016",NA,0,0,0,0,0,1,1,1,1,1,1
"18","Nevada City",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"19","Pacific Grove",NA,"2019-2020",1,1,1,1,1,1,1,1,1,1,0
"20","Placentia",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"21","Placerville",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"22","Plymouth",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"23","Point Arena",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"24","Rancho Santa Margarita",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"25","Ranco Cucamonga",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"26","Rialto",NA,"2016-2017",1,1,1,1,1,1,1,0,0,0,0
"27","San Juan Bautista",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"28","South Lake Tahoe",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"29","Tehama",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"30","Trinidad",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"31","Truckee",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"32","Twentynine Palms",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"33","Watsonville",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"34","West Hollywood","2016-2017","2018-2019",0,0,0,0,0,0,1,1,1,0,0
"35","Wheatland",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"36","Wildomar",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"37","Yountville",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"38","Yucaipa",NA,NA,1,1,1,1,1,1,1,1,1,1,1
"39","Yucca Valley",NA,NA,1,1,1,1,1,1,1,1,1,1,1
