annual_report,city,year_joined,annual_report_no_longer_reported
2010,Barstow,1985-86,
2010,Perris,1985-86,
2010,Westmorland,1985-86,
2010,Banning,1986-1987,
2010,Blythe,1986-1987,
2010,Cathedral City ,1986-1987,
2010,Coachella,1986-1987,
2010,Desert Hot Springs,1986-1987,
2010,Holtville,1986-1987,
2010,Norco ,1986-1987,
2010,Rancho Mirage,1986-1987,
2010,San Jacinto ,1986-1987,
2010,Stanton,1986-1987,2021
2010,Murrieta,1991-1992,
2010,Adelanto,1993-1994,2020
2010,Victorville,1997-1998,
2010,La Mesa,2002-2003,
2010,Tulelake,2002-2003,2020
2010,Moreno Valley,2009-2010,
2010,Eastvale,2010-2011,
2010,Hesperia,2010-2011,
2011,Canyon Lake,2011-2012,
2011,Jurupa Valley ,2011-2012,
2022,Colton,2021-2022,
