"","city","fy_joined","last_fy_reported","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022","2022-2023","2023-2024"
"1","Adelanto","1993-1994","2020-2021",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"2","Banning","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","Barstow","1985-86",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Blythe","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","Canyon Lake","2011-2012",NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Cathedral City","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","Coachella","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","Colton","2021-2022",NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"9","Desert Hot Springs","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","Eastvale","2010-2011",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","Hesperia","2010-2011",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","Holtville","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","Jurupa Valley","2011-2012",NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","La Mesa","2002-2003",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","Moreno Valley","2009-2010",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","Murrieta","1991-1992",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","Norco","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18","Perris","1985-86",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","Rancho Mirage","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","San Jacinto","1986-1987",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","Stanton","1986-1987","2020-2021",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"22","Tulelake","2002-2003","2020-2021",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"23","Victorville","1997-1998",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","Westmorland","1985-86",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
