city,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
Compton,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Glendale,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Hayward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Huntington Beach,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Montebello,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Oakland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oxnard,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Pasadena ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Pico Rivera,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Redlands,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Sacramento,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
San Bernardino,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
San Diego,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Santa Clara,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Stockton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Torrance,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Vallejo,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
