"","city","fy_start","fy_end","year_joined","fy","first_fy","last_fy","joined_late","left_pool"
"1","Biggs",2010,2011,NA,"2010-2011",2010,2025,FALSE,FALSE
"2","Biggs",2011,2012,NA,"2011-2012",2010,2025,FALSE,FALSE
"3","Biggs",2012,2013,NA,"2012-2013",2010,2025,FALSE,FALSE
"4","Biggs",2013,2014,NA,"2013-2014",2010,2025,FALSE,FALSE
"5","Biggs",2014,2015,NA,"2014-2015",2010,2025,FALSE,FALSE
"6","Biggs",2015,2016,NA,"2015-2016",2010,2025,FALSE,FALSE
"7","Biggs",2016,2017,NA,"2016-2017",2010,2025,FALSE,FALSE
"8","Biggs",2017,2018,NA,"2017-2018",2010,2025,FALSE,FALSE
"9","Biggs",2019,2020,NA,"2019-2020",2010,2025,FALSE,FALSE
"10","Biggs",2019,2020,NA,"2019-2020",2010,2025,FALSE,FALSE
"11","Biggs",2020,2021,NA,"2020-2021",2010,2025,FALSE,FALSE
"12","Biggs",2021,2022,NA,"2021-2022",2010,2025,FALSE,FALSE
"13","Biggs",2022,2023,NA,"2022-2023",2010,2025,FALSE,FALSE
"14","Biggs",2023,2024,NA,"2023-2024",2010,2025,FALSE,FALSE
"15","Biggs",2024,2025,NA,"2024-2025",2010,2025,FALSE,FALSE
"16","Biggs",2025,2026,1987,"2025-2026",2010,2025,FALSE,FALSE
"17","Colfax",2010,2011,NA,"2010-2011",2010,2025,FALSE,FALSE
"18","Colfax",2011,2012,NA,"2011-2012",2010,2025,FALSE,FALSE
"19","Colfax",2012,2013,NA,"2012-2013",2010,2025,FALSE,FALSE
"20","Colfax",2013,2014,NA,"2013-2014",2010,2025,FALSE,FALSE
"21","Colfax",2014,2015,NA,"2014-2015",2010,2025,FALSE,FALSE
"22","Colfax",2015,2016,NA,"2015-2016",2010,2025,FALSE,FALSE
"23","Colfax",2016,2017,NA,"2016-2017",2010,2025,FALSE,FALSE
"24","Colfax",2017,2018,NA,"2017-2018",2010,2025,FALSE,FALSE
"25","Colfax",2018,2019,NA,"2018-2019",2010,2025,FALSE,FALSE
"26","Colfax",2019,2020,NA,"2019-2020",2010,2025,FALSE,FALSE
"27","Colfax",2020,2021,NA,"2020-2021",2010,2025,FALSE,FALSE
"28","Colfax",2021,2022,NA,"2021-2022",2010,2025,FALSE,FALSE
"29","Colfax",2022,2023,NA,"2022-2023",2010,2025,FALSE,FALSE
"30","Colfax",2023,2024,NA,"2023-2024",2010,2025,FALSE,FALSE
"31","Colfax",2024,2025,NA,"2024-2025",2010,2025,FALSE,FALSE
"32","Colfax",2025,2026,1987,"2025-2026",2010,2025,FALSE,FALSE
